ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTZYY,US,1000170,0,0,0,0,0,0,140,30,30,40,2
USF42-EAZTZ-TRZZZ-TZTZT-ZYYYY,US,1000170,0,0,2000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TAZZZ-TZTZT-ZYYYY,US,1000170,0,0,4000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TFZZZ-TZTZT-ZYYYY,US,1000170,0,0,6000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TEZZZ-TZTZT-ZYYYY,US,1000170,0,0,8000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TXZZZ-ZTZTZ-TZYYY,US,1000170,0,0,10000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TXRZZ-ZTZTZ-TZYYY,US,1000170,0,0,12000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TXAZZ-ZTZTZ-TZYYY,US,1000170,0,0,14000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TXFZZ-ZTZTZ-TZYYY,US,1000170,0,0,16000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TXEZZ-ZTZTZ-TZYYY,US,1000170,0,0,18000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TRZZZ-ZTZTZ-TZYYY,US,1000170,0,0,20000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TRRZZ-ZTZTZ-TZYYY,US,1000170,0,0,22000,0,0,0,140,30,30,40,2
USF42-EAZTZ-TRAZZ-ZTZTZ-TZYYY,US,1000170,0,0,24000,0,0,0,147,30,30,40,2
USF42-EAZTZ-TRFZZ-ZTZTZ-TZYYY,US,1000170,0,0,26000,0,0,0,158,30,30,40,2
USF42-EAZTZ-TREZZ-ZTZTZ-TZYYY,US,1000170,0,0,28000,0,0,0,170,30,30,40,2
USF42-EAZTZ-TOZZZ-ZTZTZ-TZYYY,US,1000170,0,0,30000,0,0,0,182,30,30,40,2
USF42-EAZTZ-TORZZ-ZTZTZ-TZYYY,US,1000170,0,0,32000,0,0,0,194,30,30,40,2
USF42-EAZTZ-TOAZZ-ZTZTZ-TZYYY,US,1000170,0,0,34000,0,0,0,205,30,30,40,2
USF42-EAZTZ-TOFZZ-ZTZTZ-TZYYY,US,1000170,0,0,36000,0,0,0,217,30,30,40,2
USF42-EAZTZ-TOEZZ-ZTZTZ-TZYYY,US,1000170,0,0,38000,0,0,0,229,30,30,40,2
USF42-EAZTZ-TAZZZ-ZTZTZ-TZYYY,US,1000170,0,0,40000,0,0,0,241,30,30,40,2
USF42-EAZTZ-TARZZ-ZTZTZ-TZYYY,US,1000170,0,0,42000,0,0,0,252,30,30,40,2
USF42-EAZTZ-TAAZZ-ZTZTZ-TZYYY,US,1000170,0,0,44000,0,0,0,264,30,30,40,2
USF42-EAZTZ-TAFZZ-ZTZTZ-TZYYY,US,1000170,0,0,46000,0,0,0,276,30,30,40,2
USF42-EAZTZ-TAEZZ-ZTZTZ-TZYYY,US,1000170,0,0,48000,0,0,0,288,30,30,40,2
USF42-EAZTZ-THZZZ-ZTZTZ-TZYYY,US,1000170,0,0,50000,0,0,0,299,30,30,40,2
USF42-EAZTZ-THRZZ-ZTZTZ-TZYYY,US,1000170,0,0,52000,0,0,0,305,30,30,40,2
USF42-EAZTZ-THAZZ-ZTZTZ-TZYYY,US,1000170,0,0,54000,0,0,0,316,30,30,40,2
USF42-EAZTZ-THFZZ-ZTZTZ-TZYYY,US,1000170,0,0,56000,0,0,0,328,30,30,40,2
USF42-EAZTZ-THEZZ-ZTZTZ-TZYYY,US,1000170,0,0,58000,0,0,0,339,30,30,40,2
USF42-EAZTZ-TFZZZ-ZTZTZ-TZYYY,US,1000170,0,0,60000,0,0,0,351,30,30,40,3
USF42-EAZTZ-TFRZZ-ZTZTZ-TZYYY,US,1000170,0,0,62000,0,0,0,362,30,30,40,3
USF42-EAZTZ-TFAZZ-ZTZTZ-TZYYY,US,1000170,0,0,64000,0,0,0,374,30,30,40,3
USF42-EAZTZ-TFFZZ-ZTZTZ-TZYYY,US,1000170,0,0,66000,0,0,0,385,30,30,40,3
USF42-EAZTZ-TFEZZ-ZTZTZ-TZYYY,US,1000170,0,0,68000,0,0,0,397,30,30,40,3
USF42-EAZTZ-TGZZZ-ZTZTZ-TZYYY,US,1000170,0,0,70000,0,0,0,408,30,30,40,3
USF42-EAZTZ-TGRZZ-ZTZTZ-TZYYY,US,1000170,0,0,72000,0,0,0,420,30,30,40,3
USF42-EAZTZ-TGAZZ-ZTZTZ-TZYYY,US,1000170,0,0,74000,0,0,0,432,30,30,40,3
USF42-EAZTZ-TGFZZ-ZTZTZ-TZYYY,US,1000170,0,0,76000,0,0,0,443,30,30,40,3
USF42-EAZTZ-TGEZZ-ZTZTZ-TZYYY,US,1000170,0,0,78000,0,0,0,455,30,30,40,3
USF42-EAZTZ-TEZZZ-ZTZTZ-TZYYY,US,1000170,0,0,80000,0,0,0,466,30,30,40,3
USF42-EAZTZ-TERZZ-ZTZTZ-TZYYY,US,1000170,0,0,82000,0,0,0,478,30,30,40,3
USF42-EAZTZ-TEAZZ-ZTZTZ-TZYYY,US,1000170,0,0,84000,0,0,0,489,30,30,40,3
USF42-EAZTZ-TEFZZ-ZTZTZ-TZYYY,US,1000170,0,0,86000,0,0,0,501,30,30,40,4
USF42-EAZTZ-TEEZZ-ZTZTZ-TZYYY,US,1000170,0,0,88000,0,0,0,512,30,30,40,4
USF42-EAZTZ-TKZZZ-ZTZTZ-TZYYY,US,1000170,0,0,90000,0,0,0,524,30,30,40,4
USF42-EAZTZ-TKRZZ-ZTZTZ-TZYYY,US,1000170,0,0,92000,0,0,0,535,30,30,40,4
USF42-EAZTZ-TKAZZ-ZTZTZ-TZYYY,US,1000170,0,0,94000,0,0,0,547,30,30,40,4
USF42-EAZTZ-TKFZZ-ZTZTZ-TZYYY,US,1000170,0,0,96000,0,0,0,558,30,30,40,4
USF42-EAZTZ-TKEZZ-ZTZTZ-TZYYY,US,1000170,0,0,98000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXZZZ-ZZTZT-ZTZYY,US,1000170,0,0,100000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXZRZ-ZZTZT-ZTZYY,US,1000170,0,0,102000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXZAZ-ZZTZT-ZTZYY,US,1000170,0,0,104000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXZFZ-ZZTZT-ZTZYY,US,1000170,0,0,106000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXZEZ-ZZTZT-ZTZYY,US,1000170,0,0,108000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXXZZ-ZZTZT-ZTZYY,US,1000170,0,0,110000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXXRZ-ZZTZT-ZTZYY,US,1000170,0,0,112000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXXAZ-ZZTZT-ZTZYY,US,1000170,0,0,114000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXXFZ-ZZTZT-ZTZYY,US,1000170,0,0,116000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXXEZ-ZZTZT-ZTZYY,US,1000170,0,0,118000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXRZZ-ZZTZT-ZTZYY,US,1000170,0,0,120000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXRRZ-ZZTZT-ZTZYY,US,1000170,0,0,122000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXRAZ-ZZTZT-ZTZYY,US,1000170,0,0,124000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXRFZ-ZZTZT-ZTZYY,US,1000170,0,0,126000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXREZ-ZZTZT-ZTZYY,US,1000170,0,0,128000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXOZZ-ZZTZT-ZTZYY,US,1000170,0,0,130000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXORZ-ZZTZT-ZTZYY,US,1000170,0,0,132000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXOAZ-ZZTZT-ZTZYY,US,1000170,0,0,134000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXOFZ-ZZTZT-ZTZYY,US,1000170,0,0,136000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXOEZ-ZZTZT-ZTZYY,US,1000170,0,0,138000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXAZZ-ZZTZT-ZTZYY,US,1000170,0,0,140000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXARZ-ZZTZT-ZTZYY,US,1000170,0,0,142000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXAAZ-ZZTZT-ZTZYY,US,1000170,0,0,144000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXAFZ-ZZTZT-ZTZYY,US,1000170,0,0,146000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXAEZ-ZZTZT-ZTZYY,US,1000170,0,0,148000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXHZZ-ZZTZT-ZTZYY,US,1000170,0,0,150000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXHRZ-ZZTZT-ZTZYY,US,1000170,0,0,152000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXHAZ-ZZTZT-ZTZYY,US,1000170,0,0,154000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXHFZ-ZZTZT-ZTZYY,US,1000170,0,0,156000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXHEZ-ZZTZT-ZTZYY,US,1000170,0,0,158000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXFZZ-ZZTZT-ZTZYY,US,1000170,0,0,160000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXFRZ-ZZTZT-ZTZYY,US,1000170,0,0,162000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXFAZ-ZZTZT-ZTZYY,US,1000170,0,0,164000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXFFZ-ZZTZT-ZTZYY,US,1000170,0,0,166000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXFEZ-ZZTZT-ZTZYY,US,1000170,0,0,168000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXGZZ-ZZTZT-ZTZYY,US,1000170,0,0,170000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXGRZ-ZZTZT-ZTZYY,US,1000170,0,0,172000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXGAZ-ZZTZT-ZTZYY,US,1000170,0,0,174000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXGFZ-ZZTZT-ZTZYY,US,1000170,0,0,176000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXGEZ-ZZTZT-ZTZYY,US,1000170,0,0,178000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXEZZ-ZZTZT-ZTZYY,US,1000170,0,0,180000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXERZ-ZZTZT-ZTZYY,US,1000170,0,0,182000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXEAZ-ZZTZT-ZTZYY,US,1000170,0,0,184000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXEFZ-ZZTZT-ZTZYY,US,1000170,0,0,186000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXEEZ-ZZTZT-ZTZYY,US,1000170,0,0,188000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXKZZ-ZZTZT-ZTZYY,US,1000170,0,0,190000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXKRZ-ZZTZT-ZTZYY,US,1000170,0,0,192000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXKAZ-ZZTZT-ZTZYY,US,1000170,0,0,194000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXKFZ-ZZTZT-ZTZYY,US,1000170,0,0,196000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TXKEZ-ZZTZT-ZTZYY,US,1000170,0,0,198000,0,0,0,560,30,30,40,4
USF42-EAZTZ-TRZZZ-ZZTZT-ZTZYY,US,1000170,0,0,200000,0,0,0,560,30,30,40,4
